frame_number;seconds;resolution
959;38.36;640x480
960;38.4;640x480
961;38.44;640x480
962;38.48;640x480
963;38.52;640x480
964;38.56;640x480
965;38.6;640x480
966;38.64;640x480
967;38.68;640x480
968;38.72;640x480
969;38.76;640x480
970;38.8;640x480
971;38.84;640x480
972;38.88;640x480
973;38.92;640x480
974;38.96;640x480
975;39;640x480
976;39.04;640x480
977;39.08;640x480
978;39.12;640x480
979;39.16;640x480
980;39.2;640x480
981;39.24;640x480
982;39.28;640x480
983;39.32;640x480
984;39.36;640x480
985;39.4;640x480
986;39.44;640x480
987;39.48;640x480
988;39.52;640x480
989;39.56;640x480
990;39.6;640x480
991;39.64;640x480
992;39.68;640x480
993;39.72;640x480
994;39.76;640x480
995;39.8;640x480
996;39.84;640x480
997;39.88;640x480
998;39.92;640x480
999;39.96;640x480
1000;40;640x480
1001;40.04;640x480
1002;40.08;640x480
1003;40.12;640x480
1004;40.16;640x480
1005;40.2;640x480
1006;40.24;640x480
1007;40.28;640x480
1008;40.32;640x480
1009;40.36;640x480
1010;40.4;640x480
1011;40.44;640x480
1012;40.48;640x480
1013;40.52;640x480
1014;40.56;640x480
1015;40.6;640x480
1016;40.64;640x480
1017;40.68;640x480
1018;40.72;640x480
1019;40.76;640x480
1020;40.8;640x480
1021;40.84;640x480
1022;40.88;640x480
1023;40.92;640x480
1024;40.96;640x480
1025;41;640x480
1026;41.04;640x480
1027;41.08;640x480
1028;41.12;640x480
1029;41.16;640x480
1030;41.2;640x480
1031;41.24;640x480
1032;41.28;640x480
1033;41.32;640x480
1034;41.36;640x480
1035;41.4;640x480
1036;41.44;640x480
1037;41.48;640x480
1038;41.52;640x480
1039;41.56;640x480
1040;41.6;640x480
1041;41.64;640x480
1042;41.68;640x480
1043;41.72;640x480
1044;41.76;640x480
1045;41.8;640x480
1046;41.84;640x480
1047;41.88;640x480
1048;41.92;640x480
1049;41.96;640x480
1050;42;640x480
1051;42.04;640x480
1052;42.08;640x480
1053;42.12;640x480
1054;42.16;640x480
1055;42.2;640x480
1056;42.24;640x480
1057;42.28;640x480
1058;42.32;640x480
1059;42.36;640x480
1060;42.4;640x480
1061;42.44;640x480
1062;42.48;640x480
1063;42.52;640x480
1064;42.56;640x480
1065;42.6;640x480
1066;42.64;640x480
1067;42.68;640x480
1068;42.72;640x480
1069;42.76;640x480
1070;42.8;640x480
1071;42.84;640x480
1072;42.88;640x480
1073;42.92;640x480
1074;42.96;640x480
1075;43;640x480
1076;43.04;640x480
1077;43.08;640x480
1078;43.12;640x480
1079;43.16;640x480
1080;43.2;640x480
1081;43.24;640x480
1082;43.28;640x480
1083;43.32;640x480
1084;43.36;640x480
1085;43.4;640x480
1086;43.44;640x480
1087;43.48;640x480
1088;43.52;640x480
1089;43.56;640x480
1090;43.6;640x480
1091;43.64;640x480
1092;43.68;640x480
1093;43.72;640x480
1094;43.76;640x480
1095;43.8;640x480
1096;43.84;640x480
1097;43.88;640x480
1098;43.92;640x480
1099;43.96;640x480
1100;44;640x480
1101;44.04;640x480
1102;44.08;640x480
1103;44.12;640x480
1104;44.16;640x480
1105;44.2;640x480
1106;44.24;640x480
1107;44.28;640x480
1108;44.32;640x480
1109;44.36;640x480
1110;44.4;640x480
1111;44.44;640x480
1112;44.48;640x480
1113;44.52;640x480
1114;44.56;640x480
1115;44.6;640x480
1116;44.64;640x480
1117;44.68;640x480
1118;44.72;640x480
1119;44.76;640x480
1120;44.8;640x480
1121;44.84;640x480
1122;44.88;640x480
1123;44.92;640x480
1124;44.96;640x480
1125;45;640x480
1126;45.04;640x480
1127;45.08;640x480
1128;45.12;640x480
1129;45.16;640x480
1130;45.2;640x480
1131;45.24;640x480
1132;45.28;640x480
1133;45.32;640x480
1134;45.36;640x480
1135;45.4;640x480
1136;45.44;640x480
1137;45.48;640x480
1138;45.52;640x480
1139;45.56;640x480
1140;45.6;640x480
1141;45.64;640x480
1142;45.68;640x480
1143;45.72;640x480
1144;45.76;640x480
1145;45.8;640x480
1146;45.84;640x480
1147;45.88;640x480
1148;45.92;640x480
1149;45.96;640x480
1150;46;640x480
1151;46.04;640x480
1152;46.08;640x480
1153;46.12;640x480
1154;46.16;640x480
1155;46.2;640x480
1156;46.24;640x480
1157;46.28;640x480
1158;46.32;640x480
1159;46.36;640x480
1160;46.4;640x480
1161;46.44;640x480
1162;46.48;640x480
1163;46.52;640x480
1164;46.56;640x480
1165;46.6;640x480
1166;46.64;640x480
1167;46.68;640x480
1168;46.72;640x480
1169;46.76;640x480
1170;46.8;640x480
1171;46.84;640x480
1172;46.88;640x480
1173;46.92;640x480
1174;46.96;640x480
1175;47;640x480
1176;47.04;640x480
1177;47.08;640x480
1178;47.12;640x480
1179;47.16;640x480
1180;47.2;640x480
1181;47.24;640x480
1182;47.28;640x480
1183;47.32;640x480
1184;47.36;640x480
1185;47.4;640x480
1186;47.44;640x480
1187;47.48;640x480
1188;47.52;640x480
1189;47.56;640x480
1190;47.6;640x480
1191;47.64;640x480
1192;47.68;640x480
1193;47.72;640x480
1194;47.76;640x480
1195;47.8;640x480
1196;47.84;640x480
1197;47.88;640x480
1198;47.92;640x480
1199;47.96;640x480
1200;48;640x480
1201;48.04;640x480
1202;48.08;640x480
1203;48.12;640x480
1204;48.16;640x480
1205;48.2;640x480
1206;48.24;640x480
1207;48.28;640x480
1208;48.32;640x480
1209;48.36;640x480
1210;48.4;640x480
1211;48.44;640x480
1212;48.48;640x480
1213;48.52;640x480
1214;48.56;640x480
1215;48.6;640x480
1216;48.64;640x480
1217;48.68;640x480
1218;48.72;640x480
1219;48.76;640x480
1220;48.8;640x480
1221;48.84;640x480
1222;48.88;640x480
1223;48.92;640x480
1224;48.96;640x480
1225;49;640x480
1226;49.04;640x480
1227;49.08;640x480
1228;49.12;640x480
1229;49.16;640x480
1230;49.2;640x480
1231;49.24;640x480
1232;49.28;640x480
1233;49.32;640x480
1234;49.36;640x480
1235;49.4;640x480
1236;49.44;640x480
1237;49.48;640x480
1238;49.52;640x480
1239;49.56;640x480
1240;49.6;640x480
1241;49.64;640x480
1242;49.68;640x480
1243;49.72;640x480
1244;49.76;640x480
1245;49.8;640x480
1246;49.84;640x480
1247;49.88;640x480
1248;49.92;640x480
1249;49.96;640x480
1250;50;640x480
1251;50.04;640x480
1252;50.08;640x480
1253;50.12;640x480
1254;50.16;640x480
